"strategy","action","entry_time","result_10min","pnl_value"
"SuperTrend9","Sell","2025-10-01 07:14:02","WIN",50
"MWP10-1m","Sell","2025-10-01 07:18:03","WIN",50
"Range FRAMA100-3","Sell","2025-10-01 07:23:02","LOSE",-50
"SuperTrend10","Sell","2025-10-01 07:24:03","LOSE",-50
"MWP10-1m","Buy","2025-10-01 07:34:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 07:34:02","LOSE",-50
"Range FRAMA100-3","Buy","2025-10-01 07:36:02","LOSE",-50
"MWP10-1m","Sell","2025-10-01 07:43:01","LOSE",-50
"SuperTrend9","Sell","2025-10-01 07:43:02","LOSE",-50
"UTBOT2-5","Sell","2025-10-01 07:48:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 07:53:03","WIN",50
"MWP10-1m","Buy","2025-10-01 07:55:02","WIN",50
"Range FRAMA100-3","Buy","2025-10-01 07:56:02","WIN",50
"UTBOT2-5","Buy","2025-10-01 08:00:06","WIN",50
"SuperTrend9","Sell","2025-10-01 08:22:02","LOSE",-50
"MWP10-1m","Sell","2025-10-01 08:23:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 08:38:02","WIN",50
"MWP10-1m","Buy","2025-10-01 08:39:01","WIN",50
"SuperTrend9","Sell","2025-10-01 08:52:02","LOSE",-50
"SuperTrend9","Buy","2025-10-01 08:55:02","WIN",50
"SuperTrend9","Sell","2025-10-01 09:03:01","LOSE",-50
"MWP10-1m","Sell","2025-10-01 09:04:01","LOSE",-50
"SuperTrend10","Sell","2025-10-01 09:32:01","LOSE",-50
"SuperTrend9","Buy","2025-10-01 09:37:02","LOSE",-50
"MWP10-1m","Buy","2025-10-01 09:39:02","LOSE",-50
"SuperTrend9","Sell","2025-10-01 09:41:03","WIN",50
"MWP10-1m","Sell","2025-10-01 09:42:03","WIN",50
"MWP-31","Sell","2025-10-01 09:51:02","WIN",50
"UTBOT2-5","Sell","2025-10-01 09:54:02","WIN",50
"SuperTrend9","Buy","2025-10-01 10:06:02","WIN",50
"MWP10-1m","Buy","2025-10-01 10:09:02","WIN",50
"UTBOT2-5","Buy","2025-10-01 10:15:02","WIN",50
"MWP-31","Buy","2025-10-01 10:16:02","WIN",50
"MWP10-1m","Sell","2025-10-01 10:24:04","LOSE",-50
"MWP10-1m","Buy","2025-10-01 10:27:03","LOSE",-50
"SuperTrend9","Sell","2025-10-01 10:41:01","WIN",50
"MWP10-1m","Sell","2025-10-01 10:42:02","WIN",50
"SuperTrend10","Sell","2025-10-01 10:44:02","WIN",50
"MWP-31","Sell","2025-10-01 10:47:01","WIN",50
"UTBOT2-5","Sell","2025-10-01 10:48:02","WIN",50
"MWP20-3m","Sell","2025-10-01 10:54:02","LOSE",-50
"Range Filter5","Sell","2025-10-01 10:55:02","LOSE",-50
"Rang Fillter WR","Sell","2025-10-01 10:55:02","LOSE",-50
