"id","action","symbol","strategy","tf","entry_time","entry_price","order_value","order_interval","price_10min","price_10min_ts","price_30min","price_30min_ts","price_60min","price_60min_ts","price_1day","price_1day_ts","result_10min","result_30min","result_60min","result_1day","pnl","created_at","updated_at","trade","martingale","signal_time"
3797,"Sell","BTCUSDT","MWP-30","1","2025-09-11 15:06:03",114000.11391304,0,0,114105.07434783,"2025-09-11 15:16:04",114167.02195652,"2025-09-11 15:36:05",114010.90086957,"2025-09-11 16:06:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 15:06:03","2025-09-11 16:06:05",FALSE,FALSE,
3798,"FlowTrend Bearish + Sell","BTCUSDT","MWP-30","1","2025-09-11 15:06:03",114000.11391304,0,0,114105.07434783,"2025-09-11 15:16:05",114167.02195652,"2025-09-11 15:36:05",114010.90086957,"2025-09-11 16:06:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 15:06:03","2025-09-11 16:06:05",FALSE,FALSE,
3799,"Buy","BTCUSDT","UT-BOT2-10","1","2025-09-11 15:09:03",114116.8123913,0,0,114130.16586957,"2025-09-11 15:19:04",114132.51478261,"2025-09-11 15:39:04",114000.50978261,"2025-09-11 16:09:04",0,,"WIN","WIN","LOSE",,0,"2025-09-11 15:09:03","2025-09-11 16:09:04",FALSE,FALSE,
3800,"Buy","BTCUSDT","Range FRAMA3-99","1","2025-09-11 15:12:03",114148.18695652,0,0,114122.19565217,"2025-09-11 15:22:05",114121.49043478,"2025-09-11 15:42:04",113873.48282609,"2025-09-11 16:12:05",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 15:12:03","2025-09-11 16:12:05",FALSE,FALSE,
3801,"FlowTrend Bullish + Buy+","BTCUSDT","MWP-20","1","2025-09-11 15:13:03",114171.34695652,0,0,114122.65369565,"2025-09-11 15:23:04",114108.84125,"2025-09-11 15:43:05",113896.73695652,"2025-09-11 16:13:04",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 15:13:03","2025-09-11 16:13:04",FALSE,FALSE,
3802,"Buy","BTCUSDT","MWP-20","1","2025-09-11 15:13:03",114171.34695652,0,0,114122.65369565,"2025-09-11 15:23:04",114108.84125,"2025-09-11 15:43:04",113896.73695652,"2025-09-11 16:13:04",0,,"LOSE","LOSE","LOSE",,0,"2025-09-11 15:13:03","2025-09-11 16:13:04",FALSE,FALSE,
3803,"Sell","BTCUSDT","UT-BOT2-10","1","2025-09-11 15:42:03",114121.49695652,0,0,114048.3473913,"2025-09-11 15:52:04",113873.48282609,"2025-09-11 16:12:05",113872.125,"2025-09-11 16:42:05",0,,"WIN","WIN","WIN",,0,"2025-09-11 15:42:03","2025-09-11 16:42:05",FALSE,FALSE,
3804,"Sell","BTCUSDT","Range FRAMA3","1","2025-09-11 15:50:04",114057.19891304,0,0,114047.86782609,"2025-09-11 16:00:05",113951.82065217,"2025-09-11 16:20:05",113878.94586957,"2025-09-11 16:50:04",0,,"WIN","WIN","WIN",,0,"2025-09-11 15:50:04","2025-09-11 16:50:04",FALSE,FALSE,
3805,"Sell","BTCUSDT","Range FRAMA3-99","1","2025-09-11 15:50:04",114057.19891304,0,0,114047.86782609,"2025-09-11 16:00:05",113951.82065217,"2025-09-11 16:20:05",113878.94586957,"2025-09-11 16:50:04",0,,"WIN","WIN","WIN",,0,"2025-09-11 15:50:04","2025-09-11 16:50:04",FALSE,FALSE,
3806,"FlowTrend Bearish + Sell","BTCUSDT","MWP-20","1","2025-09-11 15:50:04",114057.19891304,0,0,114047.86782609,"2025-09-11 16:00:05",113951.82065217,"2025-09-11 16:20:05",113878.94586957,"2025-09-11 16:50:04",0,,"WIN","WIN","WIN",,0,"2025-09-11 15:50:04","2025-09-11 16:50:04",FALSE,FALSE,
